CMUA	CentralMarket	StFrancisXaviersCathedral	StateLibraryofSouthAustralia	AdelaideCasino	AdelaideTownHall	RundleMall	TandanyaNationalAboriginalCulturalInstitute	UniversityofAdelaide	HurtleSquare	WhitmoreSquare	HindleyStreet	StPatricksChurch
CMUA	0	600	68	900	950	250	700	1300	1300	900	1100	1200	1200
CentralMarket	600	0	450	1300	1100	550	1000	1700	1700	1200	750	800	650
StFrancisXaviersCathedral	68	450	0	1000	1000	300	750	1300	1300	850	1100	1200	1300
StateLibraryofSouthAustralia	900	1300	1000	0	400	750	300	1100	450	1600	2100	950	1900
AdelaideCasino	950	1100	1000	400	0	400	400	1500	800	1800	1700	600	1600
AdelaideTownHall	250	550	300	750	400	0	450	1100	1100	1100	1300	900	1200
RundleMall	700	1000	750	300	400	450	0	1000	650	1500	1700	650	1600
TandanyaNationalAboriginalCulturalInstitute	1300	1700	1300	1100	1500	1100	1000	0	700	1400	2400	1700	2300
UniversityofAdelaide	1300	1700	1300	450	800	1100	650	700	0	1400	2400	1300	2300
HurtleSquare	900	1200	850	1600	1800	1100	1500	1400	1400	0	1200	2100	1800
WhitmoreSquare	1100	750	1100	2100	1700	1300	1700	2400	2400	1200	0	1200	800
HindleyStreet	1200	800	1200	950	600	900	650	1700	1300	2100	1200	0	1000
StPatricksChurch	1200	650	1300	1900	1600	1200	1600	2300	2300	1800	800	1000	0
